"customer_id","sale_date","total_amount","product_ids"
"1","2025-09-28","174.54","{178,363}"
"2","2025-09-15","425.58","{418,303}"
"2","2025-09-16","458.55","{371,179}"
"2","2025-10-17","187.94","{245,383}"
"2","2025-10-28","498.40","{89,130}"
"3","2025-09-27","176.64","{20,462}"
"3","2025-10-04","542.16","{237,375}"
"3","2025-11-07","362.74","{428,355}"
"4","2025-09-15","268.24","{251,209}"
"4","2025-10-04","244.88","{426,324}"
"4","2025-10-18","570.25","{36,429}"
"5","2025-09-30","489.44","{468,210}"
"5","2025-10-03","210.12","{474,103}"
"5","2025-10-17","299.64","{407,192}"
"5","2025-10-21","298.82","{499,33,308,216}"
"5","2025-10-24","305.73","{438,442}"
"6","2025-09-26","414.83","{174,19}"
"6","2025-09-29","333.74","{439,446}"
"6","2025-09-30","159.28","{403,209}"
"6","2025-10-29","211.99","{290,409}"
"6","2025-11-12","231.16","{434,56}"
"7","2025-09-20","290.17","{264,32}"
"7","2025-09-24","247.41","{130,169}"
"7","2025-10-09","101.26","{172,305}"
"9","2025-09-19","552.54","{133,189}"
"9","2025-10-01","344.54","{365,429}"
"9","2025-10-11","182.85","{446,250}"
"9","2025-11-02","341.92","{184,408}"
"9","2025-11-03","306.45","{102,32}"
"10","2025-09-28","682.15","{251,453}"
"10","2025-10-05","227.11","{151,377}"
"10","2025-10-06","164.73","{376,479}"
"11","2025-09-16","329.03","{178,385}"
"11","2025-09-22","213.42","{113,418}"
"11","2025-11-07","303.39","{355,160}"
"12","2025-09-20","214.93","{86,63}"
"12","2025-10-23","278.69","{428,443}"
"12","2025-10-28","206.18","{98,372}"
"12","2025-11-05","265.54","{109,312}"
"13","2025-09-17","282.24","{495,165}"
"13","2025-09-23","182.77","{169,124}"
"13","2025-10-17","220.82","{16,273}"
"13","2025-11-03","411.94","{84,431}"
"13","2025-11-06","90.70","{420,492}"
"14","2025-09-16","101.92","{130,69}"
"14","2025-09-26","237.40","{54,107}"
"14","2025-09-27","399.54","{293,462}"
"14","2025-10-04","345.19","{138,382}"
"14","2025-10-14","498.76","{72,287}"
"14","2025-10-18","310.65","{104,489}"
"14","2025-11-05","207.24","{343,448}"
"14","2025-11-08","127.71","{44,402}"
"14","2025-11-11","95.51","{132,433}"
"15","2025-09-24","348.60","{446,39}"
"15","2025-10-12","97.52","{210,315}"
"15","2025-10-16","334.42","{310,349}"
"16","2025-09-16","157.50","{283,248}"
"16","2025-11-04","216.80","{407,118}"
"16","2025-11-06","590.54","{278,249,308,390}"
"17","2025-10-02","382.14","{232,198}"
"17","2025-10-31","319.00","{100,91}"
"18","2025-10-02","273.21","{124,270}"
"18","2025-10-20","206.33","{332,349}"
"19","2025-09-17","118.57","{5,273}"
"19","2025-09-27","415.69","{383,246}"
"19","2025-09-29","261.99","{443,135}"
"19","2025-11-07","200.16","{427,44}"
"20","2025-10-09","400.29","{395,407}"
"20","2025-10-12","315.18","{462,191}"
"22","2025-10-20","234.61","{468,252}"
"23","2025-10-04","303.18","{263,116}"
"23","2025-10-24","190.45","{354,88}"
"23","2025-10-28","103.40","{430,98}"
"23","2025-11-04","385.98","{62,471}"
"23","2025-11-07","371.38","{87,1}"
"23","2025-11-09","193.60","{436,417}"
"23","2025-11-12","322.38","{308,424}"
"24","2025-09-22","355.78","{277,30}"
"24","2025-10-06","364.70","{260,244}"
"24","2025-10-08","394.20","{285,452}"
"24","2025-10-24","256.64","{474,309}"
"25","2025-09-22","73.86","{395,130}"
"25","2025-10-01","299.13","{388,474}"
"25","2025-10-04","359.56","{298,44}"
"26","2025-10-01","126.31","{390,373}"
"26","2025-10-02","399.36","{183,19}"
"26","2025-10-18","308.94","{277,181}"
"26","2025-11-07","92.26","{250,493}"
"27","2025-09-18","230.70","{188,82}"
"27","2025-09-20","342.84","{204,431}"
"27","2025-10-04","106.68","{57,470}"
"27","2025-10-07","164.94","{398,117}"
"27","2025-11-10","334.64","{377,450}"
"28","2025-09-26","141.88","{396,3}"
"28","2025-10-04","85.28","{367,434}"
"28","2025-10-07","315.10","{273,500}"
"28","2025-10-09","226.22","{100,157}"
"29","2025-10-30","428.88","{144,473}"
"29","2025-11-10","205.90","{418,201}"
"30","2025-10-01","73.96","{487,108}"
"30","2025-10-04","314.48","{179,58}"
"30","2025-10-05","807.47","{248,10,32,71}"
